Number,PedalForce,BrakeForce,SpeedBefore,SpeedAfter,Timestamp,useageCount,anomalie,TimeTillFailure,failure
brakes0,0,0,0,4,1,0,false,64000,false
brakes0,0,0,4,9,2,0,false,64000,false
brakes0,0,0,9,14,3,0,false,64000,false
brakes0,0,0,14,18,4,0,false,64000,false
brakes0,0,0,18,23,5,0,false,64000,false
brakes0,0,0,23,28,6,0,false,64000,false
brakes0,0,0,28,32,7,0,false,64000,false
brakes0,0,0,32,37,8,0,false,64000,false
brakes0,0,0,37,42,9,0,false,64000,false
brakes0,0,0,42,46,10,0,false,64000,false
brakes0,0,0,46,51,11,0,false,64000,false
brakes0,0,0,51,56,12,0,false,64000,false
brakes0,0,0,56,61,13,0,false,64000,false
brakes0,0,0,61,65,14,0,false,64000,false
brakes0,0,0,65,70,15,0,false,64000,false
brakes0,0,0,70,75,16,0,false,64000,false
brakes0,0,0,75,79,17,0,false,64000,false
brakes0,0,0,79,84,18,0,false,64000,false
brakes0,0,0,84,89,19,0,false,64000,false
brakes0,0,0,89,93,20,0,false,64000,false
brakes0,0,0,93,98,21,0,false,64000,false
brakes0,0,0,98,103,22,0,false,64000,false
brakes0,0,0,103,107,23,0,false,64000,false
brakes0,0,0,107,112,24,0,false,64000,false
brakes0,0,0,112,117,25,0,false,64000,false
brakes0,0,0,117,122,26,0,false,64000,false
brakes0,0,0,122,126,27,0,false,64000,false
brakes0,0,0,126,131,28,0,false,64000,false
brakes0,0,0,131,136,29,0,false,64000,false
brakes0,0,0,136,140,30,0,false,64000,false
brakes0,0,0,140,145,31,0,false,64000,false
brakes0,0,0,145,150,32,0,false,64000,false
brakes0,0,0,150,154,33,0,false,64000,false
brakes0,0,0,154,159,34,0,false,64000,false
brakes0,0,0,159,164,35,0,false,64000,false
brakes0,0,0,164,168,36,0,false,64000,false
brakes0,0,0,168,173,37,0,false,64000,false
brakes0,0,0,173,178,38,0,false,64000,false
brakes0,0,0,178,183,39,0,false,64000,false
brakes0,0,0,183,187,40,0,false,64000,false
brakes0,0,0,187,192,41,0,false,64000,false
brakes0,0,0,192,197,42,0,false,64000,false
brakes0,0,0,197,201,43,0,false,64000,false
brakes0,0,0,201,206,44,0,false,64000,false
brakes0,0,0,206,210,45,0,false,64000,false
brakes0,80,100,210,168,46,1,false,64000,false
brakes0,80,100,168,126,47,2,false,64000,false
brakes0,80,100,126,84,48,3,false,64000,false
brakes0,80,100,84,42,49,4,false,64000,false
brakes0,80,100,42,0,50,5,false,64000,false
brakes0,0,0,0,7,51,5,false,64000,false
brakes0,0,0,7,14,52,5,false,64000,false
brakes0,0,0,14,21,53,5,false,64000,false
brakes0,0,0,21,29,54,5,false,64000,false
brakes0,0,0,29,36,55,5,false,64000,false
brakes0,0,0,36,43,56,5,false,64000,false
brakes0,0,0,43,50,57,5,false,64000,false
brakes0,0,0,50,58,58,5,false,64000,false
brakes0,0,0,58,65,59,5,false,64000,false
brakes0,0,0,65,72,60,5,false,64000,false
brakes0,0,0,72,80,61,5,false,64000,false
brakes0,0,0,80,87,62,5,false,64000,false
brakes0,0,0,87,94,63,5,false,64000,false
brakes0,0,0,94,101,64,5,false,64000,false
brakes0,0,0,101,109,65,5,false,64000,false
brakes0,0,0,109,116,66,5,false,64000,false
brakes0,0,0,116,123,67,5,false,64000,false
brakes0,0,0,123,130,68,5,false,64000,false
brakes0,0,0,130,138,69,5,false,64000,false
brakes0,0,0,138,145,70,5,false,64000,false
brakes0,0,0,145,152,71,5,false,64000,false
brakes0,0,0,152,160,72,5,false,64000,false
brakes0,0,0,160,167,73,5,false,64000,false
brakes0,0,0,167,174,74,5,false,64000,false
brakes0,0,0,174,181,75,5,false,64000,false
brakes0,0,0,181,189,76,5,false,64000,false
brakes0,0,0,189,196,77,5,false,64000,false
brakes0,0,0,196,203,78,5,false,64000,false
brakes0,0,0,203,210,79,5,false,64000,false
brakes0,0,0,210,218,80,5,false,64000,false
brakes0,0,0,218,220,81,5,false,64000,false
brakes0,60,100,220,183,82,6,false,64000,false
brakes0,60,100,183,147,83,7,false,64000,false
brakes0,60,100,147,110,84,8,false,64000,false
brakes0,60,100,110,74,85,9,false,64000,false
brakes0,0,0,74,76,86,9,false,64000,false
brakes0,0,0,76,79,87,9,false,64000,false
brakes0,0,0,79,82,88,9,false,64000,false
brakes0,0,0,82,85,89,9,false,64000,false
brakes0,0,0,85,88,90,9,false,64000,false
brakes0,0,0,88,91,91,9,false,64000,false
brakes0,0,0,91,94,92,9,false,64000,false
brakes0,0,0,94,97,93,9,false,64000,false
brakes0,0,0,97,100,94,9,false,64000,false
brakes0,0,0,100,103,95,9,false,64000,false
brakes0,0,0,103,106,96,9,false,64000,false
brakes0,0,0,106,109,97,9,false,64000,false
brakes0,0,0,109,112,98,9,false,64000,false
brakes0,0,0,112,115,99,9,false,64000,false
brakes0,0,0,115,118,100,9,false,64000,false
brakes0,0,0,118,121,101,9,false,64000,false
brakes0,0,0,121,124,102,9,false,64000,false
brakes0,0,0,124,127,103,9,false,64000,false
brakes0,0,0,127,130,104,9,false,64000,false
brakes0,0,0,130,133,105,9,false,64000,false
brakes0,0,0,133,136,106,9,false,64000,false
brakes0,0,0,136,139,107,9,false,64000,false
brakes0,0,0,139,142,108,9,false,64000,false
brakes0,0,0,142,145,109,9,false,64000,false
brakes0,0,0,145,148,110,9,false,64000,false
brakes0,0,0,148,151,111,9,false,64000,false
brakes0,0,0,151,154,112,9,false,64000,false
brakes0,0,0,154,157,113,9,false,64000,false
brakes0,0,0,157,160,114,9,false,64000,false
brakes0,0,0,160,163,115,9,false,64000,false
brakes0,0,0,163,166,116,9,false,64000,false
brakes0,0,0,166,168,117,9,false,64000,false
brakes0,0,0,168,171,118,9,false,64000,false
brakes0,0,0,171,174,119,9,false,64000,false
brakes0,0,0,174,177,120,9,false,64000,false
brakes0,0,0,177,180,121,9,false,64000,false
brakes0,0,0,180,183,122,9,false,64000,false
brakes0,0,0,183,186,123,9,false,64000,false
brakes0,0,0,186,189,124,9,false,64000,false
brakes0,0,0,189,192,125,9,false,64000,false
brakes0,0,0,192,195,126,9,false,64000,false
brakes0,0,0,195,198,127,9,false,64000,false
brakes0,0,0,198,201,128,9,false,64000,false
brakes0,0,0,201,204,129,9,false,64000,false
brakes0,0,0,204,207,130,9,false,64000,false
brakes0,0,0,207,210,131,9,false,64000,false
brakes0,0,0,210,212,132,9,false,64000,false
brakes0,5,9,212,209,133,10,false,64000,false
brakes0,5,9,209,207,134,11,false,64000,false
brakes0,5,9,207,204,135,12,false,64000,false
brakes0,5,9,204,202,136,13,false,64000,false
brakes0,5,9,202,199,137,14,false,64000,false
brakes0,5,9,199,197,138,15,false,64000,false
brakes0,5,9,197,194,139,16,false,64000,false
brakes0,5,9,194,192,140,17,false,64000,false
brakes0,5,9,192,189,141,18,false,64000,false
brakes0,5,9,189,187,142,19,false,64000,false
brakes0,5,9,187,184,143,20,false,64000,false
brakes0,5,9,184,182,144,21,false,64000,false
brakes0,5,9,182,179,145,22,false,64000,false
brakes0,5,9,179,177,146,23,false,64000,false
brakes0,5,9,177,174,147,24,false,64000,false
brakes0,5,9,174,172,148,25,false,64000,false
brakes0,5,9,172,169,149,26,false,64000,false
brakes0,5,9,169,167,150,27,false,64000,false
brakes0,5,9,167,164,151,28,false,64000,false
brakes0,5,9,164,162,152,29,false,64000,false
brakes0,5,9,162,159,153,30,false,64000,false
brakes0,5,9,159,157,154,31,false,64000,false
brakes0,5,9,157,154,155,32,false,64000,false
brakes0,5,9,154,152,156,33,false,64000,false
brakes0,5,9,152,149,157,34,false,64000,false
brakes0,5,9,149,147,158,35,false,64000,false
brakes0,5,9,147,144,159,36,false,64000,false
brakes0,5,9,144,142,160,37,false,64000,false
brakes0,5,9,142,139,161,38,false,64000,false
brakes0,5,9,139,137,162,39,false,64000,false
brakes0,5,9,137,134,163,40,false,64000,false
brakes0,5,9,134,132,164,41,false,64000,false
brakes0,5,9,132,129,165,42,false,64000,false
brakes0,5,9,129,127,166,43,false,64000,false
brakes0,5,9,127,124,167,44,false,64000,false
brakes0,5,9,124,122,168,45,false,64000,false
brakes0,5,9,122,119,169,46,false,64000,false
brakes0,5,9,119,117,170,47,false,64000,false
brakes0,5,9,117,114,171,48,false,64000,false
brakes0,5,9,114,112,172,49,false,64000,false
brakes0,5,9,112,109,173,50,false,64000,false
brakes0,5,9,109,107,174,51,false,64000,false
brakes0,5,9,107,104,175,52,false,64000,false
brakes0,5,9,104,102,176,53,false,64000,false
brakes0,5,9,102,99,177,54,false,64000,false
brakes0,5,9,99,97,178,55,false,64000,false
brakes0,5,9,97,94,179,56,false,64000,false
brakes0,5,9,94,92,180,57,false,64000,false
brakes0,5,9,92,89,181,58,false,64000,false
brakes0,5,9,89,87,182,59,false,64000,false
brakes0,5,9,87,84,183,60,false,64000,false
brakes0,5,9,84,82,184,61,false,64000,false
brakes0,5,9,82,79,185,62,false,64000,false
brakes0,5,9,79,77,186,63,false,64000,false